feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
-1.224073,0.377588,0.995000,-0.513210,-1.328979,-0.065529,0.478012,1.098185,1
-1.292864,-0.143561,0.411686,0.562889,-1.431024,2.740671,0.738306,1.421203,1
0.095461,0.145313,-0.344866,-0.062158,0.273092,0.692397,1.096802,0.209816,0
0.701725,-0.748600,-0.908287,-0.578010,-0.942556,-0.612626,3.425880,1.914464,1
-0.288054,0.662485,-0.092670,0.370182,0.103329,-1.006135,0.563745,-0.812026,1
-0.505204,0.549872,2.125931,-2.753915,0.525566,-0.311341,0.233993,-1.192912,0
0.767803,0.468153,1.641896,-0.377026,0.554760,0.507934,0.282973,0.208448,0
-0.598396,-0.615316,0.210994,-0.060148,-0.526432,-0.308234,-0.390817,-0.607884,1
1.773681,-0.327629,-0.693805,1.960086,0.244690,0.970971,0.873864,-1.135732,1
1.775813,-0.089484,1.718974,-0.399061,0.737311,0.389199,0.193399,-0.647629,1
-0.760717,0.792896,1.112186,-0.292015,-1.790619,-0.906298,0.237021,0.527838,1
-1.004171,0.605648,1.524111,0.615804,-0.242003,1.967499,-0.637423,-0.832512,1
2.489048,0.617394,0.113649,1.557496,-0.081702,1.861361,-0.685006,-0.474814,1
1.424361,0.173250,1.268490,0.828104,-1.104378,-0.421456,2.192921,0.052134,1
-0.332806,0.118154,0.428757,0.858129,-0.477502,-0.232697,-1.363623,1.603824,1
-0.178832,-0.474353,-0.278285,0.185435,0.041548,1.313062,-0.830838,0.201663,1
-1.609293,0.180373,-1.608582,3.480394,1.118940,0.572459,-0.175091,-2.139728,0
-1.554582,0.801569,-0.474029,-0.852008,-1.973839,0.716515,-0.752508,0.502746,0
-0.694295,-0.693951,-1.189425,-0.680209,1.250741,0.689669,2.056601,-0.086341,0
-0.982419,-0.941297,-0.524846,0.220525,-0.355487,0.000325,-0.245937,-0.921039,1
-0.374048,-1.111492,-1.692486,-1.482764,-0.005523,0.150707,-0.474581,1.428996,0
0.582814,-0.578788,-0.911897,0.691786,-0.559764,-0.335399,-0.574511,-1.642942,0
0.719229,-0.673117,-0.756108,-0.435108,0.768155,0.884393,1.011270,-1.659694,0
-2.375436,0.532545,0.956260,-0.109285,0.685462,-1.202175,0.721354,-0.869849,0
1.090606,-0.123620,0.225612,0.114383,0.203022,-0.208637,-0.334180,-1.256572,1
1.650397,0.723856,0.830275,1.858832,0.291137,0.043551,0.549349,1.347747,1
-0.998991,-1.063338,0.889879,-2.360157,-0.266773,-0.611125,-0.619818,0.097601,0
0.076420,0.343606,0.719596,-0.874911,1.274611,-1.369285,-0.176679,0.038992,0
0.355183,-0.237368,1.459524,-0.657855,0.753012,0.800967,-1.546278,-1.556967,0
0.906731,0.695975,-2.299927,-1.414048,0.328154,0.447388,1.536115,0.596458,0
0.490498,2.089080,2.731795,-0.336510,-1.721370,-0.407053,-0.939278,1.983285,1
-0.728669,-1.178097,0.458742,0.132165,-1.148580,1.791088,0.323163,1.650399,1
-0.896511,1.515823,0.360288,0.438311,-1.594975,-0.166203,0.819171,-1.291230,0
-0.389422,0.606644,0.364054,-0.816333,-0.138055,-0.189169,-1.414658,-1.906686,0
-0.370383,0.907093,1.210497,-1.774935,0.505943,1.883765,1.194977,-0.240113,0
-0.296543,-1.363141,-0.027189,2.600745,0.458206,-1.006611,-0.101651,0.405750,1
-0.133798,-0.344154,-1.003062,-0.248931,2.184145,-0.606890,-0.136344,1.123892,0
0.763314,0.922818,-0.665558,-0.267218,0.594663,-1.680825,-1.537073,1.194252,1
0.247026,0.674242,-0.339809,-0.813627,-0.854740,1.096976,1.280984,0.992158,1
0.833314,0.396567,1.163734,-0.895161,0.375568,-1.050413,0.635534,0.363194,0
-0.791949,-0.938745,0.817273,-1.106380,0.452401,-0.570070,-0.105701,-1.820892,0
-0.500227,0.620554,-0.327235,2.090425,-0.021622,0.492884,0.551563,-0.113670,1
0.516585,-0.910069,0.128866,-0.502743,-1.245475,0.872079,0.665628,0.074581,0
-2.005796,0.888412,0.787320,0.060542,-1.180594,-0.254522,-0.595156,0.428005,1
-1.139870,-0.383647,-0.511279,-0.235672,0.270018,0.619021,1.635010,-2.568713,0
-0.198371,1.062261,-0.334152,0.082169,-0.885864,-1.177653,0.248051,-1.226739,0
-0.584061,-1.837946,0.460423,0.999051,-0.068271,-1.017223,0.203030,0.565340,1
-0.013898,0.498530,-1.480136,0.903092,-1.081487,-1.116693,0.763941,-2.847091,0
-0.114244,2.198162,-0.060653,-1.733888,0.403007,-0.937077,1.638795,-1.245888,0
-1.605875,-1.328781,0.893968,0.826078,0.392226,-0.143165,0.028393,-0.879089,1
0.269928,2.390863,-0.456817,-0.784691,-0.697387,-1.095271,-0.972226,-0.205034,0
-0.001018,0.206253,-2.791092,1.368233,0.197540,-0.054177,-0.768243,-0.262170,1
-0.323296,0.320558,-0.012116,2.172832,-1.132311,-0.368364,1.268070,-0.265628,1
-0.043837,1.197497,0.621534,0.017646,-0.303339,0.534431,-0.250853,-0.599169,0
-0.266007,-0.223379,0.983763,-0.352269,-1.330699,-0.225858,-0.544757,0.613421,1
-1.061263,-0.174542,-0.819514,0.746853,0.065926,0.562657,0.154967,0.029009,0
-0.003299,-0.320794,2.398431,-0.169523,1.944819,0.968022,-1.029655,0.488351,1
-0.125414,1.478935,-0.615090,-2.721873,0.548523,0.553568,-1.242716,1.048984,0
0.093872,0.313220,-0.507278,-0.090505,-1.390130,0.521655,-0.749518,0.214932,0
-0.515262,-3.412812,-0.668074,1.556517,-0.477403,0.035773,0.490408,1.368310,1
-0.504219,0.615899,-0.512065,-1.184105,-1.187599,-0.771325,0.013654,-0.648691,0
2.792130,0.205479,-0.195952,0.737700,0.296303,-1.245908,0.632920,0.999025,1
1.285784,0.776217,-1.341408,-0.441715,-0.797678,0.816097,0.224701,0.889823,1
-1.908747,1.328474,1.244202,-1.219665,-1.200391,0.241075,1.022951,-0.092378,0
-1.712119,-2.474161,-0.575372,1.122412,-0.055115,-2.251478,-0.862569,0.421544,1
1.167959,1.117466,0.642253,-1.513793,0.144469,-0.522464,1.647671,0.614978,0
